FID,IZ11CD,IZ11NM
362,S02001527,Kirkintilloch West
363,S02001606,Liberton East
364,S02001528,Hillhead
365,S02001607,Liberton West and Braid Hills
366,S02001529,Rosebank and Waterside
367,S02001608,The Inch
368,S02001530,Twechar and Harestanes East
369,S02001609,"Blackford, West Mains and Mayfield Road"
370,S02001531,Harestanes
371,S02001610,Prestonfield
372,S02001532,Milton of Campsie
373,S02001611,Newington and Dalkeith Road
374,S02001533,Lennoxtown
375,S02001612,The Grange
376,S02001534,IZ01
377,S02001613,Marchmont East and Sciennes
378,S02001535,IZ02
379,S02001614,Marchmont West
380,S02001615,Morningside
381,S02001616,Merchiston and Greenhill
382,S02001617,Bruntsfield
383,S02001618,Polwarth
384,S02001619,Dalry and Fountainbridge
385,S02001620,Tollcross
386,S02001621,Meadows and Southside
387,S02001622,"Old Town, Princes Street and Leith Street"
388,S02001623,"Canongate, Southside and Dumbiedykes"
389,S02001624,Abbeyhill
390,S02001625,Meadowbank and Abbeyhill North
391,S02001626,Willowbrae and Duddingston Village
392,S02001627,Craigmillar
393,S02001628,Niddrie
394,S02001629,"Bingham, Magdalene and The Christians"
395,S02001630,"Jewel, Brunstane and Newcraighall"
396,S02001631,Joppa
397,S02001632,Portobello
398,S02001633,Duddingston and Portobello South
399,S02001634,Mountcastle
400,S02001635,Northfield and Piershill
401,S02001686,Queensferry West
402,S02001687,Barra and South Uist
403,S02001688,Benbecula and North Uist
404,S02001689,Harris
405,S02001690,South Lewis
406,S02001691,Northwest Lewis
407,S02001692,Broadbay
408,S02001693,Stornoway West
409,S02001694,Stornoway East
410,S02001695,Point
411,S02001696,Dunipace
412,S02001697,"Fankerton, Stoneywood and Denny Town"
413,S02001698,Denny - Nethermains
414,S02001699,Head of Muir and Dennyloanhead
415,S02001700,"Banknock, Haggs and Longcroft"
416,S02001701,Bonnybridge
417,S02001702,High Bonnybridge and Greenhill
418,S02001703,Larbert - North Broomage and Inches
419,S02001704,Larbert - South Broomage and Village
420,S02001705,Stenhousemuir West
421,S02001706,Stenhousemuir East
422,S02001707,Stenhousemuir - Antonshill
423,S02001708,Carron
424,S02001709,Carronshore
425,S02001710,Carse and Grangemouth Old Town
426,S02001711,Falkirk - Bainsford and Langlees
427,S02001712,Falkirk - Merchiston and New Carron Village
428,S02001713,Falkirk - Grahamston
429,S02001714,Falkirk - Middlefield
430,S02001715,Falkirk - Town Centre and Callendar Park
431,S02001716,Falkirk - Bantaskin
432,S02001717,Falkirk - Camelon East
433,S02001718,Falkirk - Camelon West
434,S02001719,Falkirk - Tamfourhill
435,S02001720,Falkirk - Lochgreen and Lionthorn
436,S02001721,Hallglen and Glen Village
437,S02001722,Shieldhill
