"","X","Y","",""
"187",323091.202124664,260370.801123055,-53675.3523903734,-124663.979976157
"188",105706.082020991,162405.032923496,1498.83637986235,-134468.469249028
"189",240425.160230719,159126.244518224,-13338.626327018,-59380.4684487878
"190",161044.209117538,109471.992757808,37624.3305033988,-72587.2136773423
"191",85734.6511007948,91875.0572859607,-34176.7388160492,383327.24257062
"192",457608.876992032,321397.227273481,60787.7117545852,-75512.5308291738
"193",439179.082250707,311541.565175849,10035.9793088083,13295.3052562855
"194",440811.672830678,330534.805185009,560.941668558517,-95561.5378684534
"195",416762.670500771,263777.821964406,2365.90057897233,-81778.4674117838
"196",340743.901479832,257727.290722622,26762.8447676663,11889.1202344259
"197",392900.466082842,210788.660647429,3283.06442606164,55987.0380503916
"198",355431.445003774,273964.111188146,-22506.0723029067,-94003.7971348112
"199",336873.808172093,272411.966875521,-103645.248593322,-81884.6795990747
"200",179168.233320669,216936.358081985,-8680.76958036231,50340.0499108025
"201",407860.898314518,283982.778768552,-11753.0360879967,-48723.9992298688
"202",395114.997885908,320457.142562078,30394.022424151,-4405.54328413185
"203",490445.462807972,264257.628428794,-24688.1263693068,8031.26442996773
"204",444371.327972154,186779.339967068,64880.8336541028,9475.18068525477
"205",421785.557628464,108582.808509449,47703.641819373,56033.9788517726
"206",444979.261022547,172082.149879883,7877.23032152558,28492.6771458063
"207",438214.149458135,163198.066848564,32488.2214150189,-17467.8206092836
"208",479357.610718026,206621.627624244,41152.9136305706,-22912.3411028684
"209",463719.857890308,300826.48311631,38503.0528735245,-48899.4103254609
"210",508611.61777587,204747.100363966,67653.7772144829,-26327.4985860619
"211",491372.96977751,255641.088072083,-63999.415438871,51844.962341371
"212",485063.52862443,201428.560453814,68940.5500973647,-44249.8664733156
"213",464312.334605824,249428.497399532,-1656.98315717024,-59470.968962568
"214",410770.435889727,157763.548354615,55080.4218100564,-1547.97991993575
"215",429572.15843624,170432.121883472,35839.8279029646,50027.5062679581
"216",588719.299324655,318539.203626694,99418.1408222215,96416.016636766
"217",508164.762892431,259558.822823489,-4232.75238314625,210617.572435922
"218",587916.623073541,287611.341054027,60806.4255052741,28882.9651121617
"219",573167.927312741,255013.490504759,86827.954489982,67555.4279636162
"220",489276.920185824,268707.11654494,-26021.800811029,-54349.4844621951
"221",495309.265393893,99434.9142921622,2641.1888922239,164492.249076002
"222",347268.430545148,172619.688765306,-127508.973951667,85583.0084573195
"223",399670.988044309,217211.155395928,9279.43462547456,4666.88816594079
"224",471533.099273313,141778.089653094,8302.71038814874,77289.5694667046
"225",478464.532216615,174910.424174181,15899.1811296256,72574.4272008495
"226",429763.072847649,266284.797493419,-21803.6311272516,4408.3411124027
"227",497521.687149707,321044.500966895,-10346.9857053797,-39146.4858192842
"228",474733.833469802,287395.924624969,102810.778218528,-23704.29338374
"229",457740.878383266,303766.466150792,-32529.21672773,-100551.971689445
"230",447241.175599637,279384.287017216,53290.0998929747,-26122.9238737902
