"","X","Y","",""
"64",436729.724461634,293769.604092124,-68091.3625850867,-74075.2624391322
"65",603657.994858074,215552.021766572,103947.086354081,125456.71967134
"66",559610.116657423,347500.985346818,78398.7005707763,-23948.3855395354
"67",590242.252614812,208851.903211306,122306.29058496,96945.3233531105
"68",637258.205417251,199817.268937783,68944.8510394942,162350.102103822
"69",472507.257429966,214103.264818374,13374.9621164018,-59243.928120502
"70",553339.559292351,316364.722951363,72349.2290013445,-25912.7928930712
"71",487670.356548491,323873.978771565,-34745.7250508191,-120376.475686315
"72",406474.54666653,257520.971324231,15858.9986648047,4072.08486754374
"73",449783.371479202,219386.70328418,44404.8462985451,196427.364993849
"74",397730.625132932,370916.445291565,-22142.2169491418,-73587.87832529
"75",400733.507741087,388859.022959372,2701.16968010979,-74602.5154337284
"76",333012.476515083,385894.580418772,-22809.9702884622,-83835.9429235793
"77",400350.165587216,348045.89285958,-18896.9616382937,-85170.1021223463
"78",317514.576868294,491677.455530841,68090.8572727025,17955.422589512
"79",522369.216802572,267101.757289807,87271.2819974166,13862.3073717853
"80",439114.63438702,364309.123234556,35175.596565396,71045.6591062275
"81",419005.332499392,228471.360817503,87195.4722006315,29379.7229804946
"82",458889.813869242,306625.567871646,23846.7262702998,-98909.7170286272
"83",455491.668860202,308836.669822898,-13531.3599235478,-72519.0339587582
"84",517724.832730797,275094.071871044,38010.7532357364,67811.1027139193
"85",459771.592438526,300242.95027262,-19833.1156169725,-18828.4542478745
"86",437042.613057183,321295.306408377,-32732.6693388864,-121166.977584945
"87",460330.219279024,331071.795046028,-59583.9805969108,-100834.46759043
"88",445240.094739599,292467.234031516,1809.29078079165,-90329.5641877551
"89",439025.204020134,231557.31111017,19713.2810437112,105843.715257342
"90",489455.814682015,330185.304328809,87806.04150723,71735.1903269565
"91",485962.712005669,318616.500318789,70694.8273644198,-93684.3633917078
"92",438439.472481164,301845.370874607,12560.1355035632,-78225.3788333335
"93",443993.226814358,311561.866891979,-24777.1989197403,-111642.367202204
"94",454864.125300869,315724.339278562,41996.2985913127,-72310.4508667658
"95",416731.399733918,320660.925382646,-43541.8861770102,-108572.432510321
"96",463033.292046407,330630.545017793,128.121949288659,-117423.740166145
"97",445854.359832153,339467.107508801,-82722.3747324274,-143752.723982253
"98",348791.147730997,299208.106559258,-43489.2242521635,62325.6838575344
"99",516893.604806188,391093.363430715,110168.167317013,53796.1947820471
"100",431115.325790925,310415.712651169,-22998.0285618402,36086.5741705896
"101",495945.522361093,390052.668422904,80618.6729581191,-22769.8770206412
"102",477437.588092673,352829.061477083,41419.2891013504,272353.719417284
"103",421394.876217579,324735.173574856,-35036.04709346,-104815.769769967
"104",451355.94869465,314670.325375252,-52578.6086860018,-74886.784956995
"105",519279.27598801,263366.844761668,88158.491333443,-17610.0042760285
"106",478492.381536602,298974.533914366,19121.2018880208,-63664.1006212118
