"","msoa","index"
"565","E02005243",565
"566","E02005246",566
"567","E02005250",567
"568","E02005249",568
"569","E02005248",569
"570","E02002221",570
"571","E02002226",571
"572","E02002425",572
"573","E02002223",573
"574","E02002210",574
"575","E02002217",575
"576","E02002227",576
"577","E02002230",577
"578","E02002199",578
"579","E02002209",579
"580","E02002201",580
"581","E02002208",581
"582","E02002368",582
"583","E02002356",583
"584","E02002206",584
"585","E02002203",585
"586","E02002272",586
"587","E02002275",587
"588","E02002271",588
"589","E02002239",589
"590","E02002242",590
"591","E02002241",591
"592","E02002243",592
"593","E02002273",593
"594","E02002240",594
"595","E02002231",595
"596","E02002225",596
"597","E02002246",597
"598","E02002244",598
"599","E02002229",599
"600","E02002222",600
"601","E02002213",601
"602","E02002204",602
"603","E02002218",603
"604","E02002212",604
"605","E02002197",605
"606","E02002200",606
"607","E02002192",607
"608","E02002190",608
"609","E02002188",609
"610","E02002195",610
"611","E02002219",611
"612","E02002198",612
"613","E02002202",613
"614","E02002207",614
"615","E02002211",615
"616","E02002274",616
"617","E02002279",617
"618","E02002278",618
"619","E02002258",619
"620","E02002216",620
"621","E02002214",621
"622","E02002220",622
"623","E02002186",623
"624","E02002189",624
"625","E02002196",625
"626","E02002191",626
"627","E02005749",627
"628","E02002193",628
"629","E02002194",629
"630","E02002205",630
"631","E02005747",631
"632","E02005746",632
"633","E02005745",633
"634","E02005743",634
"635","E02005744",635
"636","E02005778",636
"637","E02005742",637
"638","E02002224",638
"639","E02002395",639
"640","E02002228",640
"641","E02002234",641
"642","E02002405",642
"643","E02002235",643
"644","E02002233",644
"645","E02002238",645
"646","E02002236",646
"647","E02002232",647
"648","E02002237",648
"649","E02002215",649
"650","E02003192",650
"651","E02003188",651
"652","E02003189",652
"653","E02003202",653
"654","E02003187",654
"655","E02003190",655
"656","E02003211",656
"657","E02003186",657
"658","E02003182",658
"659","E02006883",659
"660","E02003178",660
"661","E02003176",661
"662","E02003174",662
"663","E02003183",663
"664","E02003173",664
"665","E02003180",665
"666","E02003172",666
"667","E02003177",667
"668","E02003195",668
"669","E02003200",669
"670","E02003199",670
"671","E02003194",671
"672","E02003203",672
"673","E02003210",673
"674","E02003201",674
"675","E02003204",675
"676","E02003197",676
"677","E02003198",677
"678","E02003206",678
"679","E02004267",679
"680","E02003208",680
"681","E02003209",681
"682","E02003205",682
"683","E02003207",683
"684","E02004264",684
"685","E02004263",685
"686","E02004247",686
"687","E02004265",687
"688","E02003196",688
"689","E02004254",689
"690","E02004268",690
"691","E02006885",691
"692","E02003184",692
"693","E02004266",693
"694","E02004262",694
"695","E02004252",695
"696","E02004249",696
"697","E02004251",697
"698","E02004243",698
"699","E02004244",699
"700","E02004245",700
"701","E02004788",701
"702","E02004248",702
"703","E02004253",703
"704","E02004250",704
"705","E02004236",705
"706","E02004241",706
"707","E02004240",707
"708","E02004237",708
"709","E02004242",709
"710","E02004239",710
"711","E02004238",711
"712","E02004794",712
"713","E02004246",713
"714","E02004796",714
"715","E02004790",715
