"X","Y","",""
415015.833055975,200300.384578907,-23261.9045613493,-113365.480155941
340712.747843257,139036.403648161,9474.56229678197,109239.440812909
425715.913779433,264088.409865832,6184.80166602385,-61244.0636178652
463109.505358545,366779.093229475,144252.48379931,50360.1025456713
290797.758515153,248927.687574944,-221182.651299705,595374.797083224
409409.937255719,400046.669368157,63623.0786533581,262017.235279607
457873.440942478,310552.68293619,49380.5272412081,-87404.4946475406
337264.008713723,234733.254664047,-52250.0511495902,332301.787914135
358424.116091058,140777.655408226,19717.9915842542,115234.84387363
375901.336627189,218911.675514123,23229.2816269513,-48633.2283559051
502796.808084436,287659.31272576,49462.6019391337,-40794.3645280541
401345.365392865,208899.211226724,100382.002248145,6376.42011239089
387607.405798714,213559.313304776,-35103.8761016235,61457.0687507223
476278.602788686,275791.82559539,-15814.2720474928,-118721.297208006
513512.530971477,210992.149472377,60505.6997925649,66599.9617957937
545439.993069817,255144.606196772,-13802.4567751269,58021.9360883801
467787.639610011,331946.350646172,36855.3556510998,-29303.3952692344
461385.649375704,323942.071207581,-76833.8723602606,-20070.3473837021
642411.509965401,151894.588874286,75041.1336981384,223267.956892705
524824.225067158,398015.299588312,120905.231487736,-9.38380806322675
632976.32127332,247771.612776339,103399.0269838,143073.190382757
632449.25162948,165137.88390589,94563.2063743768,240242.56076802
513263.06702174,215996.429415945,-77622.0050151608,11231.9887932867
547323.1190038,275354.736453297,102192.096452958,-10890.5858762593
482292.365180822,314678.825802718,-25093.0481506476,-124063.887332314
357333.504956544,227317.666869812,-63885.9973062012,124585.26546189
419113.470004617,272876.09487887,56912.9204951168,302215.134259656
365902.609535242,361382.138876963,45865.1524114997,-102544.250825597
423476.531646691,372548.544032249,10919.9526817244,-47063.6755771838
367372.216610096,415136.035410282,-45134.1777144644,-88385.1002930207
397219.002164124,322552.789873546,-3118.78293853068,-50750.0115996707
325810.022977598,553764.36704351,75422.594226168,94669.0178191237
537878.339920201,296190.743628692,127924.197995512,72421.2355571807
458271.353942206,432135.573402845,84780.1396361037,102390.638548956
503287.889899175,275137.117107115,133331.415163979,88237.2378524326
432517.551148322,251372.95387733,127137.573422768,-110878.451789997
530116.356952663,271936.432394593,68688.1580643872,-49430.2255536571
574187.84644925,311168.14718322,14455.3854591273,293531.564400543
467953.779505221,295311.183434347,-4854.5679554691,75030.6393418772
451066.406814449,350350.354648698,-25138.4947652761,-103835.674376886
468768.315201029,332635.892310039,-73172.5017404806,-62828.9776013029
491498.650680794,287271.788679275,112915.905635569,-88230.4808888579
379198.83164437,120817.173580548,38154.4257320973,142162.838019946
434445.824418286,357762.309046079,65351.1692134239,108689.775109975
523652.841447482,370344.564418538,99436.6644898034,-69849.6987616335
386919.501983769,272413.596063351,49830.4094127689,-100412.617181601
462454.683556825,289375.035423496,15201.975213683,-112047.999460547
505316.889979922,299112.85195869,66287.2497965509,-18073.4072329919
467343.646933564,340620.844658075,-19733.4968813831,-105704.642285761
450014.978558891,321570.612172361,-40444.8508578667,-125777.527852161
438144.064383309,337497.941858832,-79490.7419733951,-145456.257770928
328934.518121582,308238.522484952,-41620.5316182955,186758.659452613
544251.846843243,360842.167874965,31021.5573026768,93623.6340070464
400153.694897848,277958.515905121,30401.373543978,53684.7548997653
476758.888442738,364479.256590883,151464.407536374,18973.2025425808
374855.602684366,372344.939984314,45691.2994686745,322735.592142372
453136.722724763,339786.956463319,-114127.554890346,-87994.7446363216
464784.774232421,317973.392348539,-77281.7661462714,-50802.8545545268
540552.261466513,260879.358522708,111960.482208451,89393.7478971362
482767.301797114,313264.933262992,-44582.5999108583,-34844.6589893878
425733.23567887,185420.049438368,18508.0711589032,18841.9276112295
509186.883923605,301330.856160082,31564.2581523484,-67806.8772685312
475099.198725949,351407.839268115,-77771.3939555462,-104288.734276303
490155.247412028,274648.149136972,100880.8149772,-45954.7966651617
399816.103836375,261838.297606214,-48645.8953268965,-67189.6861240599
